topic,url,overview,symptoms,causes,tests,treatment
Mixed Connective Tissue Disease (MCTD),https://www.webmd.com/a-to-z-guides/connective-tissue-disease,"Some connective tissue diseases -- often called heritable disorders of connective tissue (HDCTs) -- are the result of changes in certain genes. Many of these are quite rare. Following are some of the more common ones. Ehlers-Danlos syndrome (EDS). Actually a group of more than 10 disorders, EDS is characterized by over-flexible joints, stretchy skin, and abnormal growth of scar tissue. Symptoms can range from mild to disabling. Depending on the specific form of EDS, other symptoms may include:Epidermolysis bullosa (EB). People with EB have skin that is so fragile that it tears or blisters as a result of a minor bump, stumble, or even friction from clothing. Some forms of EB may involve the digestive tract, the respiratory tract, the muscles, or the bladder. Caused by defects of several proteins in the skin, EB is usually evident at birth. Marfan syndrome. Marfan syndrome affects the bones, ligaments, eyes, heart, and blood vessels. People with Marfan syndrome tend to be tall and have extremely long bones and thin ""spider-like"" fingers and toes. Other problems may include eye problems due to abnormal placement of the eye lens and enlargement of the aorta (the largest artery in the body), which can lead to a fatal rupture. Marfan syndrome is caused by mutations in the gene that regulates the structure of a protein called fibrillin-1. Osteogenesis imperfecta. Osteogenesis imperfecta is a condition of brittle bones, low muscle mass, and lax joints and ligaments. There are several types of this condition. Specific symptoms depend on the specific type and may include: The disease occurs when a mutation in two genes responsible for type 1 collagen reduces the amount or quality of the protein. Type 1 collagen is important to the structure of bone and skin.",,,,
Mixed Hepatic Porphyria,https://www.webmd.com/a-to-z-guides/porphyria-symptoms-causes-treatment,"Porphyria is a group of disorders that can cause nerve or skin problems. There's no cure, but you can get treatments that will help you manage your symptoms. If you have porphyria that affects your skin, you'll hear your doctor call it a ""cutaneous porphyria."" When the condition causes a problem with your nervous system, it's called ""acute porphyria.""","Symptoms are different depending on the type of porphyria. Symptoms of acute porphyria The symptoms of acute porphyria can develop quickly and last for days or weeks. You might have an imbalance of salt in your body along with this type of porphyria.The symptoms can include: You may notice changes in your personality, or you may get depression or other mental disorders. You could also feel agitated, confused, or get seizures. Some complications you could get are: Symptoms of cutaneous porphyria Symptoms of cutaneous porphyria happen when your skin is in sunlight. The most commonly affected areas include the face and the back of the: You may get symptoms on your skin such as:  ","No matter what kind of porphyria you have, it has the same root cause: a problem with how your body makes a substance called heme. Heme is part of the ""hemoglobin"" in your blood -- proteins that carry oxygen from the lungs to the rest of your body. Heme has iron and gives blood its red color. It's made in your liver and bone marrow -- the spongy center of your bones. A variety of enzymes play a role in the process. If you have porphyria, your body doesn't have enough of some of these enzymes. This shortage leads to a buildup of certain chemicals, called porphyrins, that help make heme.The type of porphyria you have is linked to the specific enzyme that your body lacks. Most types of porphyria are inherited. That means one or both of your parents passes a mutated gene to you that leads to the disease. One common type of cutaneous porphyria, known as porphyria cutanea tarda, is sometimes passed through genes but can also be what doctors call an ""acquired disease."" In that case, certain conditions or actions can trigger symptoms of porphyria. These triggers can be things like: Episodes of acute porphyria, which rarely happen before puberty, can be set off by taking some kinds of drugs, including: Other things that might trigger acute porphyria are:  ","Doctors sometimes find it tricky to diagnose porphyria because the symptoms are similar to those of other diseases. If your doctor thinks you have it, they may order blood, urine, and stool tests to get a diagnosis. The best time for you to do these tests is when you have an outbreak of symptoms or around that time.Sometimes you'll get multiple tests to help your doctor figure out which specific type of porphyria you have. Your doctor may also suggest you get a genetic test. Since porphyria often runs in families, your doctor may recommend that others in your family get this test as well. Questions for your doctor  ","When you have an outbreak of acute porphyria symptoms, you may need to stay in the hospital. You'll get medicine for pain, nausea, and vomiting. Your doctor may prescribe givosiran (Givlaari), which helps reduce the toxins linked to the attacks. You may also need to get a type of sugar called glucose, which you might take by mouth or get put into your veins through an IV. Your doctor may also give you a shot of hemin (Panhematin).If you have cutaneous porphyria, your treatment will depend on the specific type of the disease you have and how severe your symptoms are. If you have porphyria cutanea tarda, your treatment might include: Your doctor may suggest that you avoid anything that triggers an outbreak. They will also treat conditions you have that bring on porphyria, like HIV or hepatitis C. Doctors for porphyria There are many things you can do to prevent outbreaks and manage your symptoms. You will likely need care from a team of health care professionals. You might see: It may take time to find the right doctors, because porphyria is so rare. The American Porphyria Foundation (APF) can help you find a specialist in your area. Good nutrition is another important part of taking care of yourself when you have porphyria. Your doctor or dietitian will help you get the right balance of carbohydrates and nutrients in your meals."
Molar Pregnancy,https://www.webmd.com/baby/what-is-molar-pregnancy,"It’s due to problems with the fertilized egg. Normal human cells contain 23 pairs of chromosomes -- one set from the mother and the other from the father. These structures carry information that tells the body’s cells what to do. In a molar pregnancy, there’s an extra set of chromosomes that comes from the father. When this happens, a fertilized egg can’t survive. It usually dies a few weeks into the pregnancy.","At first, your pregnancy might seem normal. But over time, you may start to notice the following: Call your doctor if you have these or any other unusual symptoms during pregnancy.","In the United States, molar pregnancy occurs in about 1 out of every 1,000 pregnancies. Certain things may increase the chances it will happen:",,"Your doctor may use a procedure called dilation and curettage (D&C). This is often the treatment for pregnancy loss due to any reason. During this procedure, your doctor opens your cervix with special tools and removes the tissue from your uterus. This is the best option for you if you want to get pregnant again. After a D&C, your doctor may do blood tests several times over the next few months. They will look to see whether your HCG levels are getting back to normal. If you don’t want to get pregnant again, then you may consider a total hysterectomy. That’s surgery to remove your uterus.In rare cases, a complete molar pregnancy can lead to a condition called persistent gestational trophoblastic disease (GTD). This means the abnormal tissue grows outside your uterus and into the layer of muscle below it. A D&C won’t work because it only removes tissue within the uterus. You may need to have a hysterectomy or receive chemotherapy (“chemo”) to treat persistent GTD. A molar pregnancy can also lead to a cancerous form of GTD called choriocarcinoma. You’ll need to have chemo to treat it. After a molar pregnancy, your doctor might recommend that you don’t conceive for 1 year. Pregnancy increases HCG levels, so it would be hard for them to know whether the rise in hormones is due to that, abnormal tissue that’s still in your body, or choriocarcinoma.A positive pregnancy test is often followed by the joy of a newborn baby 9 months later. But there are times when a pregnancy ends in a loss. A molar pregnancy is one of those. During a healthy pregnancy, the placenta grows inside your uterus. It nourishes your baby through the umbilical cord. With a molar pregnancy, tissue in the uterus becomes an abnormal mass or tumor instead of a placenta. There are two types of molar pregnancy -- partial and complete. A partial one is when both the placenta and embryo (fertilized egg) are abnormal. In a complete molar pregnancy, there’s an abnormal placenta, but no embryo."
Moles,https://www.webmd.com/skin-problems-and-treatments/guide/moles-freckles-skin-tags,"Seborrheic keratoses are brown or black growths usually found on the chest and back, as well as on the head. They originate from cells called keratinocytes. As they develop, seborrheic keratoses take on a warty appearance. They do not normally lead to skin cancer.",,The cause of seborrheic keratoses is unknown. They are seen more often as people get older.,,"Seborrheic keratoses are harmless and are not contagious. Therefore, they don't need to be treated. If you decide to have seborrheic keratoses removed because you don't like the way they look, or because they are chronically irritated by clothing, methods for removing them include cutting them off, cryosurgery, and electrosurgery.  There are several skin lesions that are very common and benign (non-cancerous). These conditions include moles, freckles, skin tags, benign lentigines, and seborrheic keratoses."
Molluscum Contagiosum,https://www.webmd.com/skin-problems-and-treatments/guide/molluscum-contagium,"Molluscum contagiosum is a common viral skin infection. It most often affects children, but adults with weakened immune systems can get it, too.","Molluscum contagiosum papules commonly appear on the face, trunk, and limbs of children and on the genitals, abdomen, and inner thighs of adults. The condition usually causes bumps that: Molluscum contagiosum usually disappears on its own over a period of months to years if you have a healthy immune system. If you have AIDS or other conditions that affect the immune system, molluscum contagiosum can lead to widespread, chronic sores.",Molluscum contagiosum is caused by the molluscum contagiosum virus. It’s part of the pox virus family. You can spread molluscum contagiosum: ,"A diagnosis of molluscum contagiosum is based on the way the papule looks. If your doctor isn’t sure, they can confirm the diagnosis with a skin biopsy. They’ll remove a piece of skin to look at more closely. If they’re worried you might have other health problems, they can check for them, too.","Because molluscum contagiosum can go away on its own, you may not need treatment. But the doctor can remove individual bumps by scraping or freezing them. This procedure could leave a scar. Topical medications (medications you put on your skin), like those used to remove warts, can also help remove the papules."
Monitoring your Blood Pressure at home,https://www.webmd.com/hypertension-high-blood-pressure/guide/hypertension-home-monitoring,"Ceetain things can cause blood pressure to temporarily rise. For example, blood pressure normally rises as a result of: Try to avoid as many of these factors as you can when taking your blood pressure. Also, try to measure your blood pressure at about the same time each day. Your doctor may want you to check your blood pressure several times during the day to see if it fluctuates.",,,,
Mono (Infectious Mononucleosis),https://www.webmd.com/a-to-z-guides/understanding-mononucleosis-causes,"Mononucleosis is an infectious illness that’s usually caused by the Epstein-Barr virus (EBV). It’s also called mono or “the kissing disease.” You can get the virus through kissing as well as things like sharing drinks or silverware. It’s contagious, but you’re less likely to catch mono than other common illnesses like a cold. Mono isn’t usually a serious illness, but you can have complications that make it more dangerous. The symptoms of mono can range from mild to severe. You may not be able to take part in your normal daily activities for several weeks.","Mono can cause different symptoms in different people. If you get EBV, you may start to have symptoms of mono within about 4 to 7 weeks. Common symptoms include: Some people have no symptoms or ones that are so mild, they don’t notice them. Most people who get mono feel better in about 2 to 4 weeks. Sometimes, fatigue can last several weeks after that. In some cases, it can take 6 months or longer for the symptoms to go away.","Many people are exposed to EBV as kids. But that doesn’t always mean you’ll get mono. You can carry the virus in your body for your entire life without ever having symptoms of mono. EBV is part of the herpes virus family. Most people are exposed to it at some point in their lives. In the U.S., about 85% to 90% of adults carry the virus by the time they’re 40. ","Your doctor can usually diagnose mono based on your symptoms. They might also check for swelling in your tonsils, lymph nodes, and liver or spleen. They can confirm a mono diagnosis with blood tests including: ",No medications treat mono. Antibiotics and antivirals don’t work on EBV. Things that may help you feel better include: 
Monomodal Visual Amnesia,https://www.webmd.com/mental-health/dissociative-amnesia,"The outlook for people with dissociative amnesia depends on several factors, including the person's life situation, the availability of support systems, and the individual's response to treatment. For most people with dissociative amnesia, memory returns with time, making the overall outlook very good. ","The primary symptom of dissociative amnesia is the sudden inability to remember past experiences or personal information. Some people with this disorder also might appear confused and suffer from depression and/or anxiety, or psychiatri disorders. ","Dissociative amnesia has been linked to overwhelming stress, which might be the result of traumatic events -- such as war, abuse, accidents, or disasters -- that the person has experienced or witnessed. There also might be a genetic link to the development of dissociative disorders, including dissociative amnesia, because people with these disorders sometimes have close relatives who have had similar conditions.",,"The first goal of treatment for dissociative amnesia is to relieve symptoms and control any problem behavior. Treatment then aims to help the person safely express and process painful memories, develop new coping and life skills, restore functioning, and improve relationships. The best treatment approach depends on the individual and the severity of their symptoms. Treatments may include the following:  "
Morgagni-Turner-Albright Syndrome,https://www.webmd.com/children/what-is-turner-syndrome,"Turner syndrome is a rare genetic disorder that’s found only in girls. It can cause problems ranging from short height to heart defects. Sometimes, the symptoms are so mild that it doesn’t get diagnosed until a female is a teen or young adult. The condition can cause symptoms throughout your life, but treatments and continued research help people manage their condition.","Signs of Turner syndrome can start even before birth, and they give parents some idea that their baby might be born with the condition. An ultrasound of a baby with it may show heart and kidney problems or a buildup of fluid.A DNA test using a blood sample from the mother can also screen for Turner syndrome before birth.","Turner syndrome happens when a female is missing certain genes that are normally on the X chromosome. (Females have two X chromosomes. Males have an X and a Y). Some girls with Turner are actually missing a whole copy of the X chromosome. For others, just part of one containing the particular set of genes is missing. The different ways genes can be affected include: Monosomy. A problem with the mom’s egg or dad’s sperm causes an absence of the X chromosome in every cell of the body. Mosaicism. When cell division during early stages of fetal development doesn’t happen correctly, some cells in the body get two complete copies of the X chromosome. Other cells have only one copy.X chromosome abnormalities. Cells have one complete copy and one abnormal or missing copy of the X chromosome. Y chromosome material. In a few cases, some cells get one copy of the X chromosome and other cells get one copy of the X chromosome and some Y chromosome material. Biologically, you develop as a female. The Y chromosome material increases your risk of a type of cancer called gonadoblastoma. About 70,000 U.S. women and girls live with it. Research has found that almost 99% of babies missing the chromosome are miscarried. But about 1% of the time, these babies are born, and they have the syndrome.","If an ultrasound shows something abnormal while you’re pregnant, your doctor may want to examine your baby’s chromosomes with a karyotype. This test compares chromosomes by lining them up. To get samples from you, your doctor may recommend: If a diagnosis isn’t made before or at birth, other lab tests that check hormones, thyroid function and blood sugar can help diagnose it. Because of the problems linked to Turner syndrome, doctors will also often suggest tests for the kidneys, heart, and hearing.","Medical care often calls for a team of specialists that’s built around the specific needs of each person, because the cases vary so widely. There’s no cure, but most girls will take the same main therapies during childhood and the teen years. These are: Almost all women with the condition need fertility treatments to become pregnant. And carrying a child can come with health risks. If you have Turner syndrome, you should discuss those issues with your doctor."
Morning Sickness,https://www.webmd.com/baby/guide/morning-sickness-pregnant,"Morning sickness is nausea and vomiting that happens during pregnancy. More than half of pregnant women have nausea and vomiting, especially during the first trimester.  Despite its name, you can have morning sickness at any time of day. It doesn't mean your baby is sick, and it doesn't hurt the baby. Pregnancy nausea is probably caused by the sudden increase of hormones in your body. It's usually mild and goes away about midway through your pregnancy. Some women never feel nauseated during their pregnancy. Some women get a severe form of morning sickness called hyperemesis gravidarum. This happens when severe nausea and vomiting leads to dehydration or causes the woman to lose more than 5% of her pregnancy body weight. Sometimes, she may not get enough nutrients, leading to malnourishment. The woman may have to stay in the hospital to get fluids, medication, and rarely, a feeding tube.",General symptoms of morning sickness include:Call your doctor if you: ,"Experts aren’t sure, but pregnancy hormones may cause nausea. In the case of severe nausea and vomiting, there could be another medical condition that isn’t related to pregnancy.  Things that may make you more likely to have morning sickness include: You’re at higher risk of hyperemesis gravidarum if: ","Diagnosing morning sickness is based on your signs and symptoms. If your doctor suspects you have hyperemesis gravidarum, they may also order urine or blood tests.","For moderate to severe morning sickness, your doctor may recommend: To treat hyperemesis gravidarum, you may need to stay in the hospital and get: You can also try some of these home remedies:  "
Morvan Disease -- Syringomyelia,https://www.webmd.com/brain/what-is-syringomyelia,"Syringomyelia is a long-term condition that causes fluid-filled cysts, which doctors call “syrinx,” to form inside your spinal cord. You may also hear it called hydromyelia, syringohydromyelia, or Morvan disease. You may not have symptoms, or even be aware that you have it. But a severe case can cause problems that need to be treated. Syringomyelia is most common in adults ages 20 to 40, but it can happen to people of all ages. Men are more likely to get it than women.","Symptoms depend on the location and size of the cyst. Over time, if it grows wider and longer, it can damage the nerves in the center of your spinal cord. This can lead to chronic pain that’s hard to treat. Symptoms usually happen slowly over many years. But they can appear suddenly after an accident, like a fall. Other symptoms you may have include: If the cyst damages a nerve that controls the muscles in your eyes and face, you may get what doctors call Horner syndrome. It causes droopy eyelids, narrowing of the opening between the eyelids, reduced pupil size, and decreased sweating on the affected side of the face.","You get this condition when something blocks the normal flow of cerebrospinal fluid, which protects your spinal cord and brain. It enters the central canal of the spinal cord and can cause a cyst to form. With syringomyelia, there are two main reasons this fluid can get blocked or rerouted: a birth defect or trauma.Congenital syringomyelia, also called communicating syringomyelia, usually happens when there’s a problem with the baby’s brain development during pregnancy. A defect that doctors call a “Chiari I malformation” causes the lower part of the baby’s brain to push downward into their spinal canal. This blocks the normal flow of fluid between the spine and the brain, and a cyst forms. But not everyone with a Chiari I malformation gets this disorder. Symptoms usually show up between ages 25 and 40. Acquiredsyringomyelia, also called primary spinal or noncommunicating syringomyelia, is when a cyst forms in a damaged part of the spinal cord. It may happen when there is: Sometimes, it happens for reasons doctors don’t understand. They call this “idiopathic syringomyelia.”","Doctors use magnetic resonance imaging (MRI) scans of the brain and spine to see if you have syringomyelia. The MRI can show a cyst or other condition. Sometimes, doctors discover you have this condition when doing an MRI for another health reason. You might also have a kind of X-ray procedure called a CT scan of your spine.","What kind of treatment you get for syringomyelia depends on whether you have symptoms, and how serious they are. Monitoring: You probably won’t need treatment if you don’t have symptoms or if they’ve mild. But you should have regular checkups to watch for cyst growth and changes in signs and symptoms. The doctor may tell you to avoid activities like heavy lifting that involve straining. They might also prescribe medicine for pain or refer you to physical therapy. Surgery: If your symptoms cause problems, you may need surgery to restore the normal flow of the cerebrospinal fluid. The type of surgery you’ll have depends on what caused your syringomyelia. For example, if the problem is due to a Chiari I malformation, your doctor might do a procedure called posterior fossa decompression. They’ll remove the bone at the back of your skull and spine. It creates more space for your brainstem and cerebellum, the part of the brain that controls your movements and balance. Talk to the doctor about the risks and benefits of surgery."
Motion Sickness,https://www.webmd.com/cold-and-flu/ear-infection/motion-sickness,"You get motion sickness when there are conflicts among your senses. Say you’re on a ride at the fair, and it’s spinning you around and upside down. Your eyes see one thing, your muscles feel another, and your inner ears sense something else. Your brain can’t take in all those mixed signals. That’s why you end up feeling dizzy and sick.","Motion sickness can strike quickly and make you break out in a cold sweat and feel like you need to throw up. Other common symptoms include: In addition, some people get headaches, feel very tired, or have shallow breathing.","You get motion sickness when there are conflicts among your senses. Say you’re on a ride at the fair, and it’s spinning you around and upside down. Your eyes see one thing, your muscles feel another, and your inner ears sense something else. Your brain can’t take in all those mixed signals. That’s why you end up feeling dizzy and sick.",,
Motor Neuron Disease,https://www.webmd.com/brain/what-are-motor-neuron-diseases,,,,,
Mountain Fever,https://www.webmd.com/skin-problems-and-treatments/ticks-and-the-diseases-they-spread,"Mostly, it’s these ticks that gives illnesses to people:",,,,
"Mountain Sickness, Acute",https://www.webmd.com/a-to-z-guides/altitude-sickness,"You might have: Symptoms usually come on within 12 to 24 hours of reaching a higher elevation and then get better within a day or two as your body adjusts to the change in altitude. If you have a more moderate case of altitude sickness, your symptoms might feel more intense and not improve with over-the-counter medications. Instead of feeling better as time goes on, you’ll start to feel worse. You’ll have more shortness of breath and fatigue. You may also have: If you develop a severe form of altitude sickness like HAPE or HACE, you might have:","You might have: Symptoms usually come on within 12 to 24 hours of reaching a higher elevation and then get better within a day or two as your body adjusts to the change in altitude. If you have a more moderate case of altitude sickness, your symptoms might feel more intense and not improve with over-the-counter medications. Instead of feeling better as time goes on, you’ll start to feel worse. You’ll have more shortness of breath and fatigue. You may also have: If you develop a severe form of altitude sickness like HAPE or HACE, you might have:","The pressure of the air that surrounds you is called barometric or atmospheric pressure. When you go to higher altitudes, this pressure drops and there is less oxygen available. If you live in a place that’s located at a moderately high altitude, you get used to the air pressure. But if you travel to a place at a higher altitude than you’re used to, your body will need time to adjust to the change in pressure. Any time you go above 8,000 feet, you can be at risk for altitude sickness.",,"If you get a headache and at least one other symptom linked to altitude sickness within a day or two of changing your elevation, you might have altitude sickness. For mild symptoms, you can try staying at your current altitude to see if your body adjusts. Rest, keep warm, and have plenty of liquids. Don’t go any higher until your symptoms are completely gone.    If your symptoms are severe, or if mild symptoms don’t go away in a couple of days or get worse, get to a lower elevation as quickly as possible. Don’t exert yourself. Get medical help. Your doctor might listen to your chest with a stethoscope or take an X-ray of your chest or an MRI or CT scan of your brain to look for fluid. To treat HACE, you might need a steroid called dexamethasone. If you have HAPE, you will need supplemental oxygen and may need medications, as well as moving to a lower altitude."
Mouth (Oral) Cancer,https://www.webmd.com/oral-health/guide/oral-cancer,"The overall 5-year survival rate for patients with an early diagnosis of oral cavity and pharynx cancers is 84%. If the cancer has spread to nearby tissues, organs, or lymph nodes, the 5-year survival rate drops to 65%.","The most common symptoms of oral cancer include:  If you notice any of these changes, contact your dentist or health care professional immediately.",,,"Oral cancer is treated the same way many other cancers are treated -- with surgery to remove the cancerous growth, followed by radiation therapy and/or chemotherapy (drug treatments) to destroy any remaining cancer cells."
MPS,https://www.webmd.com/children/hunter-syndrome-mps-ii,"Hunter syndrome, also called mucopolysaccharidosis II or MPS II, is a rare disease that's passed on in families. It mainly affects boys. Their bodies can't break down a kind of sugar that builds bones, skin, tendons, and other tissue. Those sugars build up in their cells and damage many parts of the body, including the brain. Exactly what happens is different for every person. When your son has Hunter syndrome, there are things you can do to help them play, have friends, and do some of the things that other kids do, even though they may look different from their pals. Although there is no cure for Hunter syndrome, there are ways to help manage it and live with the symptoms.","When Hunter syndrome affects the brain, which is about 75% of the time, symptoms usually show up between 18 months and 4 years of age. They start about 2 years later when the disease is milder. Hunter syndrome usually affects how the boy looks: They'll probably have these symptoms: When a boy's brain is affected, it's likely they'll have: Kids who have Hunter syndrome are usually cheerful and affectionate, despite the problems it can cause.","Boys with the disease can't make a certain protein because there's a problem with a small piece of their DNA, called a gene, that comes from their mother. A dad with Hunter syndrome will pass the problem gene to their daughter, but the daughter won't get the disease unless they get the gene from their mom, too. It's possible -- but very, very unlikely -- that someone could develop Hunter syndrome even though no one in their family going back has had it.","Doctors often have to rule out other medical conditions first. Your doctor may ask: If the doctors can't find another explanation for your son's symptoms, they'll test for Hunter syndrome by checking for: After doctors are sure it's Hunter syndrome, it's a good idea to let extended family members know about the gene problem, too. If you're a pregnant woman and you know you carry the gene or you already have a child with Hunter syndrome, you can find out whether the baby you're carrying is affected. Talk to your doctor about testing early in your pregnancy.",Early treatment may prevent some long-term damage. Enzyme replacement therapy (ERT) can help slow the disease for boys with milder Hunter syndrome. It replaces the protein their body doesn't make. ERT can help improve: ERT is the first treatment for kids whose brains aren't affected. It doesn't slow the disease in the brain. Bone marrow and umbilical cord blood transplants. These transplants bring cells into your child's body that can hopefully make the protein they're missing. The new cells come from either a bone marrow donor whose cells match your child's or the stem cells of umbilical cord blood from newborn babies.Both of these treatments are high-risk. They're usually used only if other treatments aren't possible. They also haven't been shown to help when the brain is affected. Research is under way to find effective treatments for boys with severe Hunter syndrome.
MPS Disorder,https://www.webmd.com/children/hunter-syndrome-mps-ii,"Hunter syndrome, also called mucopolysaccharidosis II or MPS II, is a rare disease that's passed on in families. It mainly affects boys. Their bodies can't break down a kind of sugar that builds bones, skin, tendons, and other tissue. Those sugars build up in their cells and damage many parts of the body, including the brain. Exactly what happens is different for every person. When your son has Hunter syndrome, there are things you can do to help them play, have friends, and do some of the things that other kids do, even though they may look different from their pals. Although there is no cure for Hunter syndrome, there are ways to help manage it and live with the symptoms.","When Hunter syndrome affects the brain, which is about 75% of the time, symptoms usually show up between 18 months and 4 years of age. They start about 2 years later when the disease is milder. Hunter syndrome usually affects how the boy looks: They'll probably have these symptoms: When a boy's brain is affected, it's likely they'll have: Kids who have Hunter syndrome are usually cheerful and affectionate, despite the problems it can cause.","Boys with the disease can't make a certain protein because there's a problem with a small piece of their DNA, called a gene, that comes from their mother. A dad with Hunter syndrome will pass the problem gene to their daughter, but the daughter won't get the disease unless they get the gene from their mom, too. It's possible -- but very, very unlikely -- that someone could develop Hunter syndrome even though no one in their family going back has had it.","Doctors often have to rule out other medical conditions first. Your doctor may ask: If the doctors can't find another explanation for your son's symptoms, they'll test for Hunter syndrome by checking for: After doctors are sure it's Hunter syndrome, it's a good idea to let extended family members know about the gene problem, too. If you're a pregnant woman and you know you carry the gene or you already have a child with Hunter syndrome, you can find out whether the baby you're carrying is affected. Talk to your doctor about testing early in your pregnancy.",Early treatment may prevent some long-term damage. Enzyme replacement therapy (ERT) can help slow the disease for boys with milder Hunter syndrome. It replaces the protein their body doesn't make. ERT can help improve: ERT is the first treatment for kids whose brains aren't affected. It doesn't slow the disease in the brain. Bone marrow and umbilical cord blood transplants. These transplants bring cells into your child's body that can hopefully make the protein they're missing. The new cells come from either a bone marrow donor whose cells match your child's or the stem cells of umbilical cord blood from newborn babies.Both of these treatments are high-risk. They're usually used only if other treatments aren't possible. They also haven't been shown to help when the brain is affected. Research is under way to find effective treatments for boys with severe Hunter syndrome.
MPS Disorder I,https://www.webmd.com/children/mucopolysaccharidosis-i-mps-i,"MPS I stands for mucopolysaccharidosis type I. It starts in childhood. You can't ""catch"" it -- it comes from your genes. People with MPS I can't make a specific protein called alpha-L iduronidase, which is needed to break down sugars. These sugars build up in cells and cause damage throughout the body. People who have this disease can have problems with how their bodies grow and work, as well as trouble with thinking and learning. They might look different, too. Many people with milder MPS I can go to school and eventually work and have families. And even for people with more severe MPS I, there are treatments to help ease their symptoms and slow down the disease.  Because it affects people in so many different ways, doctors used to separate MPS I into groups: Hurler, Hurler-Scheie, and Scheie syndromes. Now they talk about a range between two forms:","Many babies with MPS I don't show any signs of the disease at first. For those with less severe MPS I, symptoms show up later in childhood. People with this form, attenuated MPS I, probably can make a tiny bit of the protein, which is why their symptoms are milder and the disease moves very slowly. Children who have the severe form usually start to have symptoms while they're still infants. They're often big when they're born and grow quickly for a year, but then stop by the time they're 3. They might never grow taller than 4 feet. They also tend to look similar:MPS I can show up in a lot of different ways:","MPS I is passed down through families. But you get it only when both parents give you a broken gene. If you get one normal gene and one ""bad"" gene, you won't have symptoms of MPS I. You could pass the gene to your children, though.","Because it's a rare disease, doctors rule out other medical conditions first. Your doctor might ask: If the doctors can't find another explanation for your child's symptoms, they'll test for MPS I by checking for:After doctors are sure it's MPS I, it's a good idea to let your extended family know about the gene problem, too. If you are pregnant, know you are a carrier of the gene, and already have a child with MPS I, you can find out whether the baby you're carrrying is affected. Talk to your doctor about testing. ","Enzyme replacement therapy (ERT) uses a drug called laronidase (Aldurazyme), a man-made version of the missing protein. It has changed the outlook for many kids with MPS I. It can relieve most symptoms and slow the progress of the disease, although it doesn't help treat symptoms from the brain, like problems with thinking or learning.Another option may be a hematopoietic stem cell transplant (HSCT), in which doctors put new cells into your child's body that might make the protein their body is missing. These cells often come from bone marrow or umbilical cord blood. When children get a transplant before they're 2 years old, they might be able to learn better. But HSCT can't fix bone or eye problems. Work with a doctor who specializes in lysosomal storage diseases, or LSDs. Depending on what symptoms your child has, you might need to see other specialists, too. Often they'll include a cardiologist, who focuses on the heart, and an eye doctor."
MPS Disorder II,https://www.webmd.com/children/hunter-syndrome-mps-ii,"Hunter syndrome, also called mucopolysaccharidosis II or MPS II, is a rare disease that's passed on in families. It mainly affects boys. Their bodies can't break down a kind of sugar that builds bones, skin, tendons, and other tissue. Those sugars build up in their cells and damage many parts of the body, including the brain. Exactly what happens is different for every person. When your son has Hunter syndrome, there are things you can do to help them play, have friends, and do some of the things that other kids do, even though they may look different from their pals. Although there is no cure for Hunter syndrome, there are ways to help manage it and live with the symptoms.","When Hunter syndrome affects the brain, which is about 75% of the time, symptoms usually show up between 18 months and 4 years of age. They start about 2 years later when the disease is milder. Hunter syndrome usually affects how the boy looks: They'll probably have these symptoms: When a boy's brain is affected, it's likely they'll have: Kids who have Hunter syndrome are usually cheerful and affectionate, despite the problems it can cause.","Boys with the disease can't make a certain protein because there's a problem with a small piece of their DNA, called a gene, that comes from their mother. A dad with Hunter syndrome will pass the problem gene to their daughter, but the daughter won't get the disease unless they get the gene from their mom, too. It's possible -- but very, very unlikely -- that someone could develop Hunter syndrome even though no one in their family going back has had it.","Doctors often have to rule out other medical conditions first. Your doctor may ask: If the doctors can't find another explanation for your son's symptoms, they'll test for Hunter syndrome by checking for: After doctors are sure it's Hunter syndrome, it's a good idea to let extended family members know about the gene problem, too. If you're a pregnant woman and you know you carry the gene or you already have a child with Hunter syndrome, you can find out whether the baby you're carrying is affected. Talk to your doctor about testing early in your pregnancy.",Early treatment may prevent some long-term damage. Enzyme replacement therapy (ERT) can help slow the disease for boys with milder Hunter syndrome. It replaces the protein their body doesn't make. ERT can help improve: ERT is the first treatment for kids whose brains aren't affected. It doesn't slow the disease in the brain. Bone marrow and umbilical cord blood transplants. These transplants bring cells into your child's body that can hopefully make the protein they're missing. The new cells come from either a bone marrow donor whose cells match your child's or the stem cells of umbilical cord blood from newborn babies.Both of these treatments are high-risk. They're usually used only if other treatments aren't possible. They also haven't been shown to help when the brain is affected. Research is under way to find effective treatments for boys with severe Hunter syndrome.
